D (mm),t  (mm),f_y (MPa),f_c (MPa),L (mm),e_t (mm),P_exp (kN)
140.0,5.0,378.43137254902,42.647058823529,938.0,0.0,1532.0
140.0,5.3,378.43137254902,60.588235294118,938.0,0.0,1698.0
140.0,5.0,378.43137254902,51.274509803922,938.0,0.0,1570.0
92.0,3.0,260.78431372549,26.078431372549,193.2,0.0,549.0
92.0,3.0,260.78431372549,26.078431372549,322.0,0.0,511.0
92.0,3.0,260.78431372549,26.078431372549,644.0,0.0,440.0
92.0,3.0,260.78431372549,26.078431372549,984.4,0.0,417.0
108.0,4.5,259.80392156863,25.490196078431,432.0,0.0,950.0
108.0,4.5,259.80392156863,25.490196078431,756.0,0.0,679.0
108.0,4.5,259.80392156863,25.490196078431,1080.0,0.0,680.0
108.0,4.5,259.80392156863,25.490196078431,1404.0,0.0,574.0
108.0,4.5,259.80392156863,25.490196078431,1728.0,0.0,535.0
108.0,4.5,259.80392156863,25.490196078431,2052.0,0.0,505.0
108.0,4.0,332.1568627451,48.039215686275,432.0,0.0,990.0
108.0,4.0,327.25490196078,48.039215686275,648.0,0.0,853.0
108.0,4.0,337.74509803922,43.137254901961,864.0,0.0,801.0
108.0,4.0,337.74509803922,40.980392156863,1080.0,0.0,751.0
108.0,4.0,327.25490196078,41.56862745098,1296.0,0.0,700.0
108.0,4.0,332.1568627451,40.490196078431,1512.0,0.0,700.0
108.0,4.0,347.8431372549,40.490196078431,1728.0,0.0,686.0
108.0,4.2,259.80392156863,25.882352941176,432.0,0.0,935.0
108.0,4.2,259.80392156863,25.882352941176,756.0,0.0,737.0
108.0,4.2,259.80392156863,28.627450980392,1080.0,0.0,653.0
210.0,2.5,237.25490196078,32.941176470588,840.0,0.0,1670.0
210.0,2.5,237.25490196078,33.529411764706,1260.0,0.0,1640.0
210.0,2.5,237.25490196078,32.941176470588,1890.0,0.0,1350.0
106.0,3.0,299.01960784314,44.117647058824,463.75,0.0,751.0
159.3,5.25,357.1568627451,40.980392156863,409.0,0.0,2500.0
159.3,5.25,357.1568627451,40.980392156863,409.0,0.0,2091.0
159.3,5.25,357.1568627451,40.980392156863,409.0,0.0,2150.0
159.3,5.25,357.1568627451,40.980392156863,409.0,0.0,2083.0
159.3,5.25,357.1568627451,40.980392156863,409.0,0.0,1942.0
159.3,5.25,357.1568627451,40.980392156863,409.0,0.0,1950.0
159.3,5.25,357.1568627451,40.980392156863,409.0,0.0,1850.0
105.3,3.0,321.96078431373,29.117647058824,312.0,0.0,640.0
105.2,2.95,321.96078431373,29.117647058824,312.0,0.0,595.0
105.1,2.75,321.96078431373,29.117647058824,312.0,0.0,587.0
105.3,3.15,321.96078431373,46.176470588235,312.0,0.0,783.0
105.2,3.05,321.96078431373,46.176470588235,312.0,0.0,792.0
105.2,3.05,321.96078431373,46.176470588235,312.0,0.0,801.0
108.3,4.4,321.96078431373,29.117647058824,312.0,0.0,773.0
108.2,4.45,321.96078431373,29.117647058824,312.0,0.0,760.0
108.2,4.45,321.96078431373,29.117647058824,312.0,0.0,753.0
153.9,1.83,357.1568627451,34.313725490196,424.0,0.0,1101.0
156.3,3.03,357.1568627451,42.941176470588,424.0,0.0,1400.0
159.3,4.83,357.1568627451,40.980392156863,420.0,0.0,1901.0
159.8,5.08,357.1568627451,40.980392156863,425.0,0.0,1950.0
101.3,0.55,357.1568627451,42.941176470588,300.0,0.0,381.0
101.3,0.55,357.1568627451,42.941176470588,300.0,0.0,350.0
105.0,2.86,265.0,34.313725490196,321.0,0.0,590.0
107.9,4.3,265.0,34.313725490196,321.0,0.0,847.0
107.9,4.3,265.0,34.313725490196,320.0,0.0,821.0
102.7,1.65,265.0,40.980392156863,309.0,0.0,495.0
102.5,1.55,265.0,40.980392156863,311.0,0.0,450.0
102.3,1.45,265.0,40.980392156863,312.0,0.0,447.0
105.0,2.8,265.0,34.313725490196,311.0,0.0,589.0
105.2,2.9,265.0,34.313725490196,311.0,0.0,598.0
108.55,4.6,271.96078431373,36.470588235294,325.7,0.0,772.0
273.0,8.0,306.86274509804,34.705882352941,1100.0,0.0,5690.0
273.0,8.0,306.86274509804,11.862745098039,1100.0,0.0,4120.0
273.0,8.0,306.86274509804,11.862745098039,1100.0,0.0,3920.0
273.0,8.0,306.86274509804,17.450980392157,1100.0,0.0,5300.0
273.0,8.0,306.86274509804,17.450980392157,1100.0,0.0,5400.0
204.0,2.0,235.29411764706,12.156862745098,880.0,0.0,1090.0
204.0,2.0,235.29411764706,12.156862745098,880.0,0.0,1060.0
204.0,2.0,235.29411764706,33.43137254902,840.0,0.0,1320.0
204.0,2.0,235.29411764706,46.078431372549,840.0,0.0,1670.0
204.0,2.0,235.29411764706,46.862745098039,840.0,0.0,1725.0
96.0,5.0,410.78431372549,12.156862745098,410.0,0.0,930.0
96.0,5.0,410.78431372549,12.156862745098,450.0,0.0,860.0
96.0,5.0,410.78431372549,33.43137254902,450.0,0.0,1065.0
96.0,5.0,410.78431372549,33.43137254902,450.0,0.0,1190.0
96.0,5.0,410.78431372549,46.078431372549,400.0,0.0,1200.0
96.0,5.0,410.78431372549,46.078431372549,400.0,0.0,1195.0
96.0,5.0,410.78431372549,46.078431372549,400.0,0.0,1095.0
96.0,5.0,410.78431372549,46.078431372549,405.0,0.0,1145.0
121.0,12.0,294.11764705882,12.156862745098,500.0,0.0,2465.0
121.0,12.0,294.11764705882,12.156862745098,500.0,0.0,2420.0
121.0,12.0,294.11764705882,33.43137254902,500.0,0.0,2550.0
166.0,5.0,274.50980392157,31.372549019608,660.0,0.0,1780.0
166.0,5.0,274.50980392157,31.372549019608,660.0,0.0,1730.0
166.0,5.0,274.50980392157,34.705882352941,660.0,0.0,1900.0
166.0,5.0,274.50980392157,34.705882352941,660.0,0.0,1910.0
166.0,5.0,274.50980392157,34.705882352941,660.0,0.0,1730.0
166.0,5.0,274.50980392157,34.705882352941,660.0,0.0,1770.0
166.0,5.0,274.50980392157,34.705882352941,660.0,0.0,2070.0
166.0,5.0,274.50980392157,34.705882352941,660.0,0.0,2150.0
121.0,12.0,294.11764705882,11.862745098039,500.0,0.0,2380.0
121.0,12.0,294.11764705882,33.43137254902,500.0,0.0,2470.0
121.0,12.0,294.11764705882,46.862745098039,500.0,0.0,2640.0
166.0,5.0,274.50980392157,34.705882352941,350.0,0.0,1820.0
166.0,5.0,274.50980392157,34.705882352941,350.0,0.0,2080.0
166.0,5.0,274.50980392157,34.705882352941,500.0,0.0,2040.0
166.0,5.0,274.50980392157,34.705882352941,500.0,0.0,2085.0
166.0,5.0,274.50980392157,34.705882352941,660.0,0.0,2015.0
166.0,5.0,274.50980392157,34.705882352941,1100.0,0.0,2025.0
320.0,7.0,250.0,52.941176470588,260.0,0.0,8070.0
320.0,7.0,250.0,52.941176470588,440.0,0.0,6020.0
320.0,7.0,250.0,52.941176470588,520.0,0.0,6010.0
320.0,7.0,250.0,52.941176470588,520.0,0.0,6510.0
121.0,12.0,294.11764705882,9.1666666666667,200.0,0.0,2760.0
121.0,12.0,294.11764705882,15.686274509804,200.0,0.0,2800.0
121.0,12.0,294.11764705882,15.686274509804,200.0,0.0,2900.0
166.0,5.0,277.45098039216,45.392156862745,710.48,0.0,1690.0
166.0,5.0,277.45098039216,48.823529411765,710.48,0.0,1945.0
166.0,5.0,313.72549019608,48.823529411765,869.84,0.0,1865.0
166.0,5.0,284.3137254902,48.823529411765,869.84,0.0,1900.0
166.0,5.0,294.11764705882,48.823529411765,1699.84,0.0,1575.0
166.0,5.0,313.72549019608,48.823529411765,1699.84,0.0,1490.0
166.0,5.0,289.21568627451,33.039215686275,2700.82,0.0,1140.0
166.0,5.0,289.21568627451,33.039215686275,2700.82,0.0,1297.0
166.0,5.0,287.25490196078,33.039215686275,3700.14,0.0,1004.0
166.0,5.0,287.25490196078,33.039215686275,3700.14,0.0,978.0
108.0,4.0,339.01960784314,34.019607843137,324.0,0.0,1140.0
108.0,4.0,339.01960784314,34.019607843137,324.0,0.0,1080.0
108.0,4.0,339.01960784314,34.019607843137,324.0,0.0,1095.0
108.0,4.0,339.01960784314,34.019607843137,648.0,0.0,842.0
108.0,4.0,339.01960784314,34.019607843137,648.0,0.0,845.0
108.0,4.0,339.01960784314,34.019607843137,864.0,0.0,782.0
108.0,4.0,339.01960784314,34.019607843137,864.0,0.0,818.0
108.0,4.0,339.01960784314,34.019607843137,864.0,0.0,887.0
108.0,4.0,339.01960784314,34.019607843137,1080.0,0.0,854.0
108.0,4.0,339.01960784314,34.019607843137,1080.0,0.0,799.0
108.0,4.0,339.01960784314,34.019607843137,1620.0,0.0,722.0
108.0,4.0,339.01960784314,34.019607843137,1620.0,0.0,660.0
108.0,4.0,339.01960784314,34.019607843137,1620.0,0.0,657.0
108.0,4.0,339.01960784314,34.019607843137,2160.0,0.0,686.0
108.0,4.0,339.01960784314,34.019607843137,2160.0,0.0,712.0
108.0,4.0,339.01960784314,34.019607843137,2160.0,0.0,690.0
108.0,4.0,339.01960784314,34.019607843137,2700.0,0.0,662.0
108.0,4.0,339.01960784314,34.019607843137,3240.0,0.0,571.0
108.0,4.0,339.01960784314,34.019607843137,3240.0,0.0,488.0
108.0,4.0,339.01960784314,34.019607843137,3240.0,0.0,613.0
108.0,4.0,339.01960784314,34.019607843137,4320.0,0.0,381.0
108.0,4.0,339.01960784314,34.019607843137,4320.0,0.0,350.0
108.0,4.0,339.01960784314,34.019607843137,4320.0,0.0,300.0
108.0,4.0,339.01960784314,34.019607843137,5400.0,0.0,230.0
108.0,4.0,339.01960784314,34.019607843137,5400.0,0.0,215.0
108.0,4.0,339.01960784314,34.019607843137,5400.0,0.0,217.0
101.8,2.94,319.60784313725,17.941176470588,200.0,0.0,640.0
101.8,2.94,319.60784313725,37.352941176471,200.0,0.0,673.0
101.8,5.7,304.90196078431,17.941176470588,200.0,0.0,972.0
101.8,5.7,304.90196078431,37.352941176471,200.0,0.0,990.0
100.0,0.52,244.11764705882,17.941176470588,200.0,0.0,243.0
100.0,0.52,244.11764705882,17.941176470588,200.0,0.0,247.0
100.0,0.52,244.11764705882,17.941176470588,200.0,0.0,242.0
100.0,0.52,244.11764705882,37.352941176471,200.0,0.0,397.0
100.0,0.52,244.11764705882,37.352941176471,200.0,0.0,402.0
100.0,0.52,244.11764705882,37.352941176471,200.0,0.0,412.0
150.0,0.7,245.1,22.549019607843,480.0,0.0,549.0
150.0,0.7,245.1,22.549019607843,800.0,0.0,524.0
150.0,1.4,245.1,22.549019607843,800.0,0.0,711.0
150.0,2.1,245.1,22.549019607843,800.0,0.0,803.0
150.0,0.7,245.1,33.43137254902,480.0,0.0,759.0
150.0,2.1,245.1,35.294117647059,800.0,0.0,1095.0
108.0,4.5,400.0,69.0,700.0,0.0,1200.0
108.0,4.5,400.0,69.0,700.0,0.0,1350.0
108.0,4.5,400.0,69.0,1130.0,0.0,1200.0
108.0,4.5,400.0,69.0,1130.0,0.0,1100.0
108.0,4.5,400.0,69.0,1670.0,0.0,1000.0
108.0,4.5,400.0,69.0,1670.0,0.0,1000.0
108.0,4.5,400.0,69.0,2230.0,0.0,850.0
108.0,4.5,400.0,69.0,2230.0,0.0,900.0
108.0,4.5,400.0,69.0,3470.0,0.0,490.0
108.0,4.5,400.0,69.0,3470.0,0.0,540.0
190.7,6.0,504.90196078431,55.882352941176,1150.0,0.0,3123.0
190.7,6.0,504.90196078431,55.882352941176,2300.0,0.0,2663.0
190.7,6.0,504.90196078431,55.882352941176,3450.0,0.0,2100.0
190.7,6.0,504.90196078431,48.333333333333,1150.0,0.0,3210.0
190.7,6.0,504.90196078431,48.333333333333,3450.0,0.0,2175.0
267.4,7.0,460.78431372549,55.882352941176,1600.0,0.0,5283.0
267.4,7.0,460.78431372549,55.882352941176,3200.0,0.0,4623.0
267.4,7.0,460.78431372549,55.882352941176,4800.0,0.0,3697.0
267.4,7.0,460.78431372549,48.333333333333,1600.0,0.0,5290.0
267.4,7.0,460.78431372549,48.333333333333,4800.0,0.0,3980.0
323.9,5.6,443.9,92.3,1000.0,0.0,11481.0
323.9,5.6,478.0,92.3,4000.0,0.0,10401.0
114.0,1.79,266.0,37.0,850.0,0.0,515.0
114.0,3.35,291.0,37.0,850.0,0.0,785.0
114.0,4.44,332.0,37.0,850.0,0.0,902.0
114.0,6.0,486.0,37.0,850.0,0.0,1334.0
114.0,5.91,486.0,25.0,1250.0,0.0,1177.0
114.0,1.93,266.0,33.0,1750.0,0.0,461.0
114.0,3.32,291.0,30.0,1750.0,0.0,628.0
114.0,5.94,486.0,37.0,1750.0,0.0,1138.0
114.0,1.78,266.0,28.0,2250.0,0.0,373.0
114.0,3.31,291.0,24.0,2320.0,0.0,535.0
114.0,6.14,486.0,28.0,2250.0,0.0,1000.0
114.0,1.72,266.0,36.0,2750.0,0.0,353.0
114.0,3.41,291.0,36.0,2750.0,0.0,569.0
114.0,4.49,332.0,31.0,2750.0,0.0,657.0
114.0,6.11,486.0,33.0,2750.0,0.0,941.0
139.7,9.2202,681.88086045229,38.403199117485,914.4,0.0,3047.017
139.7,9.2202,681.88086045229,38.403199117485,914.4,0.0,2597.7488
139.7,9.2202,681.88086045229,38.403199117485,3048.0,0.0,2001.69
177.8,12.7508,593.62934362934,38.403199117485,914.4,0.0,5253.3242
177.8,12.7508,593.62934362934,38.403199117485,914.4,0.0,5524.6644
177.8,12.7508,593.62934362934,38.403199117485,3048.0,0.0,4310.3058
152.0,1.7,270.0,73.0,900.0,0.0,1550.0
152.0,1.7,270.0,73.0,900.0,0.0,1458.0
152.0,1.7,270.0,73.0,500.0,0.0,1548.0
152.0,1.7,270.0,73.0,500.0,0.0,1448.0
152.0,1.7,328.0,85.0,660.0,0.0,1863.0
152.0,1.7,328.0,85.0,660.0,0.0,1895.0
165.2,4.5,413.7288,40.882352941176,661.0,0.0,1593.0
165.2,4.5,413.7288,40.882352941176,1322.0,0.0,1440.0
165.2,4.5,413.7288,40.882352941176,1982.0,0.0,1399.0
165.2,4.5,413.7288,40.882352941176,2974.0,0.0,1170.0
165.2,4.5,413.7288,40.882352941176,3965.0,0.0,1039.0
165.2,4.5,413.7288,40.882352941176,4956.0,0.0,797.0
159.8,6.3,482.5,76.8,476.0,0.0,2350.0
115.9,4.9,309.5,76.8,350.0,0.0,1174.0
141.8,4.3,433.0,76.8,420.0,0.0,1618.0
114.8,3.9,357.7,76.8,337.0,0.0,1150.0
165.7,5.1,373.3,76.8,494.0,0.0,2309.0
133.1,4.5,324.3,76.8,397.0,0.0,1535.0
113.6,3.2,354.6,76.8,337.0,0.0,1145.0
111.3,2.0,354.6,76.8,339.0,0.0,894.0
130.6,2.3,324.3,76.8,396.0,0.0,1250.0
140.8,3.0,285.0,28.18,635.0,0.0,881.0
141.4,6.5,313.0,23.805,635.0,0.0,1825.0
140.0,6.68,537.0,28.18,635.0,0.0,2715.0
101.5,2.4,410.0,58.0,2175.0,0.0,523.0
125.0,1.0,232.0,84.7,438.0,0.0,1275.0
125.0,1.0,232.0,84.7,438.0,0.0,1239.0
127.0,2.0,258.0,84.7,445.0,0.0,1491.0
127.0,2.0,258.0,84.7,445.0,0.0,1339.0
133.0,3.5,352.0,84.7,465.0,0.0,1995.0
133.0,3.5,352.0,84.7,465.0,0.0,1991.0
133.0,3.5,352.0,84.7,465.0,0.0,1962.0
133.0,4.7,352.0,84.7,465.0,0.0,2273.0
133.0,4.7,352.0,84.7,465.0,0.0,2158.0
133.0,4.7,352.0,84.7,465.0,0.0,2253.0
127.0,7.0,429.0,84.7,445.0,0.0,3404.0
127.0,7.0,429.0,84.7,445.0,0.0,3370.0
127.0,7.0,429.0,84.7,445.0,0.0,3364.0
108.0,4.5,358.0,77.4,378.0,0.0,1535.0
108.0,4.5,358.0,77.4,378.0,0.0,1578.0
108.0,4.5,358.0,77.4,378.0,0.0,1518.0
165.0,2.82,363.3,108.0,577.5,0.0,2673.0
190.0,1.94,256.4,108.0,660.0,0.0,3360.0
190.0,1.52,306.1,108.0,661.5,0.0,3260.0
190.0,1.13,185.7,108.0,660.0,0.0,3058.0
190.0,0.86,210.7,108.0,662.0,0.0,3070.0
101.4,3.03,371.0,23.2,304.2,0.0,660.0
101.9,3.03,371.0,23.2,305.7,0.0,649.0
101.8,3.03,371.0,23.2,305.4,0.0,682.0
216.4,6.61,452.0,24.3,649.2,0.0,3568.0
318.3,10.36,331.0,24.2,954.9,0.0,6565.0
101.7,3.03,371.0,40.2,305.1,0.0,800.0
101.3,3.03,371.0,40.2,303.9,0.0,742.0
216.4,6.61,452.0,38.3,649.2,0.0,4023.0
318.3,10.36,331.0,39.3,954.9,0.0,7933.0
101.9,3.03,371.0,51.3,305.7,0.0,877.0
101.5,3.03,371.0,51.3,304.5,0.0,862.0
216.4,6.61,452.0,46.8,649.2,0.0,4214.0
318.5,10.36,331.0,52.5,955.5,0.0,8289.0
159.0,4.8,433.0,64.5,650.0,0.0,2150.0
219.0,6.0,325.0,58.0,1000.0,0.0,2989.0
219.0,4.0,325.0,47.6,1000.0,0.0,1930.6
219.0,4.0,325.0,52.3,1000.0,0.0,1979.6
120.0,2.65,340.0,20.1,360.0,0.0,640.0
120.0,2.65,340.0,36.0,360.0,0.0,816.0
120.0,2.65,340.0,36.0,1400.0,0.0,769.0
158.7,0.9,221.0,18.7,450.0,0.0,699.7
157.5,1.5,308.0,18.7,450.0,0.0,815.4
157.7,2.14,286.0,18.7,450.0,0.0,907.5
165.0,4.7,355.0,33.4,2475.0,0.0,1058.0
165.0,4.7,355.0,33.4,2475.0,0.0,1037.0
165.0,4.7,355.0,10.0,2475.0,0.0,800.0
165.0,4.7,355.0,10.0,2475.0,0.0,834.0
110.0,1.9,350.0,33.4,2200.0,0.0,437.0
110.0,1.9,350.0,33.4,2200.0,0.0,368.0
110.0,1.9,350.0,33.4,2200.0,0.0,355.0
110.0,1.9,350.0,33.4,2200.0,0.0,374.0
110.0,1.9,350.0,10.0,2200.0,0.0,269.0
110.0,1.9,350.0,10.0,2200.0,0.0,252.0
110.0,1.9,350.0,10.0,2200.0,0.0,211.0
110.0,1.9,350.0,10.0,2200.0,0.0,219.0
180.0,1.49,222.7,44.76,555.0,0.0,1287.0
150.0,1.5,222.7,44.76,459.0,0.0,1024.0
135.0,1.46,222.7,44.76,417.0,0.0,800.0
120.0,1.51,222.7,49.32,369.0,0.0,690.0
100.0,1.9,404.0,121.6,300.0,0.0,1125.0
100.0,1.9,404.0,121.6,300.0,0.0,1085.0
100.0,1.9,404.0,121.6,300.0,0.0,1100.0
100.0,1.9,404.0,121.6,300.0,0.0,1170.0
100.0,1.9,404.0,121.6,900.0,0.0,1065.0
100.0,1.9,404.0,121.6,900.0,0.0,980.0
100.0,1.9,404.0,121.6,1500.0,0.0,907.0
100.0,1.9,404.0,121.6,1500.0,0.0,760.0
100.0,1.9,404.0,121.6,3000.0,0.0,288.0
100.0,1.9,404.0,121.6,3000.0,0.0,317.5
360.0,6.0,498.0,31.5,1760.0,0.0,6888.0
300.0,12.0,479.0,31.5,1580.0,0.0,9823.0
150.0,3.0,324.4,52.6,675.0,0.0,1462.0
150.0,3.0,324.4,52.6,900.0,0.0,1489.0
111.64,1.9,261.3,47.8,400.0,0.0,666.6
111.64,1.9,261.3,56.7,400.0,0.0,701.9
113.64,3.64,259.6,56.7,400.0,0.0,1011.0
76.21,2.52,286.0,145.0,300.0,0.0,752.0
76.12,2.51,286.0,145.0,300.0,0.0,762.0
76.11,2.48,286.0,145.0,300.0,0.0,774.0
76.19,2.99,278.0,145.0,300.0,0.0,805.0
75.84,2.99,278.0,145.0,300.0,0.0,796.0
75.97,2.98,278.0,145.0,300.0,0.0,801.0
76.18,3.31,305.0,145.0,300.0,0.0,841.0
159.0,6.0,394.0,37.7,2135.0,0.0,1414.0
159.0,6.0,457.0,120.1,2135.0,0.0,2792.0
159.0,6.0,487.0,116.0,2135.0,0.0,2193.0
152.0,4.5,356.4,27.0,3000.0,0.0,1001.0
152.0,4.5,356.4,27.0,3000.0,0.0,905.0
152.0,4.5,356.4,27.0,3000.0,0.0,929.0
152.0,4.5,356.4,87.1,3000.0,0.0,1499.0
159.0,4.5,344.4,56.7,3000.0,0.0,1351.0
159.0,4.5,344.4,56.7,3000.0,0.0,1509.0
159.0,4.5,344.4,56.7,3000.0,0.0,1408.0
159.0,4.5,344.4,82.1,3000.0,0.0,1557.0
159.0,4.5,344.4,82.1,3000.0,0.0,1501.0
159.0,4.5,344.4,82.1,3000.0,0.0,1515.0
159.0,4.5,475.4,56.7,3000.0,0.0,1710.0
159.0,4.5,475.4,56.7,3000.0,0.0,1710.0
159.0,4.5,475.4,56.7,3000.0,0.0,1705.0
159.0,4.5,475.4,82.1,3000.0,0.0,1767.0
159.0,4.5,475.4,82.1,3000.0,0.0,1711.0
159.0,4.5,475.4,82.1,3000.0,0.0,1755.0
114.3,2.74,235.0,56.2,300.0,0.0,901.81
114.3,2.74,235.0,66.75,300.0,0.0,981.23
114.3,2.74,235.0,107.2,300.0,0.0,1295.06
114.3,5.9,355.0,56.2,300.0,0.0,1735.77
114.3,5.9,355.0,66.75,300.0,0.0,1818.62
114.3,5.9,355.0,107.2,300.0,0.0,1989.86
114.3,2.74,235.0,56.2,600.0,0.0,947.75
114.3,2.74,235.0,66.75,600.0,0.0,1031.92
114.3,2.74,235.0,107.2,600.0,0.0,1296.61
114.3,5.9,355.0,56.2,600.0,0.0,1723.19
114.3,5.9,355.0,66.75,600.0,0.0,1810.94
114.3,5.9,355.0,107.2,600.0,0.0,1968.06
114.3,2.74,235.0,56.2,900.0,0.0,877.28
114.3,2.74,235.0,66.75,900.0,0.0,983.51
114.3,2.74,235.0,107.2,900.0,0.0,1233.24
114.3,5.9,355.0,56.2,900.0,0.0,1592.48
114.3,5.9,355.0,66.75,900.0,0.0,1713.34
114.3,5.9,355.0,107.2,900.0,0.0,1907.29
165.0,2.37,287.5,30.2,615.0,0.0,1008.0
165.0,2.37,287.5,30.2,615.0,0.0,996.0
558.1,16.53,546.0,31.7,997.5,0.0,29050.0
557.65,16.52,546.0,31.7,994.9,0.0,28830.0
559.4,16.54,546.0,31.7,994.85,0.0,29590.0
153.0,1.54,345.0,85.4,306.0,0.0,1823.0
153.0,1.54,345.0,85.4,306.0,0.0,1842.0
153.0,1.54,345.0,85.4,306.0,0.0,1872.0
250.0,2.48,326.0,85.4,500.0,0.0,4871.0
250.0,2.48,326.0,85.4,500.0,0.0,4528.0
250.0,2.48,326.0,85.4,500.0,0.0,4733.0
372.0,3.64,320.0,85.4,744.0,0.0,9163.0
372.0,3.64,320.0,85.4,744.0,0.0,9996.0
372.0,3.64,320.0,85.4,744.0,0.0,9604.0
469.0,4.66,291.0,85.4,938.0,0.0,15827.0
469.0,4.66,291.0,85.4,938.0,0.0,16670.0
469.0,4.66,291.0,85.4,938.0,0.0,15239.0
157.0,2.48,326.0,85.4,314.0,0.0,2117.0
157.0,2.48,326.0,85.4,314.0,0.0,2058.0
157.0,2.48,326.0,85.4,314.0,0.0,2068.0
282.0,4.36,322.0,85.4,564.0,0.0,6811.0
282.0,4.36,322.0,85.4,564.0,0.0,6380.0
282.0,4.36,322.0,85.4,564.0,0.0,6860.0
358.0,5.66,290.0,85.4,716.0,0.0,9947.0
358.0,5.66,290.0,85.4,716.0,0.0,10045.0
358.0,5.66,290.0,85.4,716.0,0.0,9609.0
474.0,7.42,317.0,85.4,948.0,0.0,17787.0
474.0,7.42,317.0,85.4,948.0,0.0,18306.0
474.0,7.42,317.0,85.4,948.0,0.0,17885.0
153.0,3.64,320.0,85.4,306.0,0.0,2264.0
153.0,3.64,320.0,85.4,306.0,0.0,2274.0
153.0,3.64,320.0,85.4,306.0,0.0,2205.0
235.0,5.66,290.0,85.4,470.0,0.0,5390.0
235.0,5.66,290.0,85.4,470.0,0.0,5047.0
235.0,5.66,290.0,85.4,470.0,0.0,5096.0
393.0,9.38,312.0,85.4,786.0,0.0,13936.0
393.0,9.38,312.0,85.4,786.0,0.0,14406.0
393.0,9.38,312.0,85.4,786.0,0.0,14161.0
477.0,11.36,310.0,85.4,954.0,0.0,20237.0
477.0,11.36,310.0,85.4,954.0,0.0,20462.0
477.0,11.36,310.0,85.4,954.0,0.0,19854.0
114.3,3.6,403.0,173.5,250.0,0.0,2422.0
114.3,3.6,403.0,173.5,250.0,0.0,2340.0
114.3,6.3,428.0,173.5,250.0,0.0,2610.0
114.3,6.3,428.0,173.5,250.0,0.0,2633.0
219.1,5.0,380.0,51.6,600.0,0.0,3118.0
219.1,5.0,380.0,185.1,600.0,0.0,7837.0
219.1,10.0,381.0,51.6,600.0,0.0,5241.0
219.1,10.0,381.0,185.1,600.0,0.0,9085.0
219.1,6.3,300.0,163.0,600.0,0.0,6915.0
219.1,6.3,300.0,175.4,600.0,0.0,7407.0
219.1,6.3,300.0,148.8,600.0,0.0,6838.0
219.1,6.3,300.0,174.5,600.0,0.0,7569.0
219.1,16.0,374.0,186.0,4195.0,0.0,6402.0
273.0,10.0,412.0,180.0,4195.0,0.0,8648.0
168.3,2.8,317.8,37.71,300.0,0.0,1282.5
168.3,2.8,317.8,93.74,300.0,0.0,2375.7
159.0,3.0,336.28,33.39,300.0,0.0,1185.7
159.0,3.0,336.28,90.85,300.0,0.0,2021.7
120.0,2.5,445.52,41.44,300.0,0.0,879.2
120.0,2.5,445.52,94.68,300.0,0.0,1417.2
100.0,3.0,432.09,34.04,300.0,0.0,724.0
100.0,3.0,432.82,93.51,300.0,0.0,1141.3
101.6,3.0,425.03,34.04,300.0,0.0,703.3
101.6,3.0,425.03,93.51,300.0,0.0,1075.5
140.0,4.42,1020.0,52.5,420.0,0.0,3020.0
140.0,6.27,1153.0,52.5,420.0,0.0,4274.0
140.0,8.36,813.0,52.5,420.0,0.0,4436.0
140.0,10.46,773.0,52.5,420.0,0.0,5420.0
140.0,6.21,359.0,125.0,420.0,0.0,3215.0
140.0,6.21,359.0,125.0,420.0,0.0,3202.0
140.0,8.19,389.0,125.0,420.0,0.0,3354.0
140.0,8.19,389.0,125.0,420.0,0.0,3398.0
140.0,11.58,367.0,125.0,420.0,0.0,4104.0
140.0,11.58,367.0,125.0,420.0,0.0,4300.0
140.0,16.72,389.0,125.0,420.0,0.0,5135.0
140.0,16.72,389.0,125.0,420.0,0.0,5120.0
140.0,4.42,1020.0,125.0,420.0,0.0,4516.0
140.0,4.42,1020.0,125.0,420.0,0.0,4312.0
140.0,6.27,1153.0,125.0,420.0,0.0,5386.0
140.0,6.27,1153.0,125.0,420.0,0.0,5354.0
140.0,8.36,813.0,125.0,420.0,0.0,5531.0
140.0,8.36,813.0,125.0,420.0,0.0,5502.0
140.0,10.46,773.0,125.0,420.0,0.0,6339.0
140.0,10.46,773.0,125.0,420.0,0.0,6187.0
88.9,5.842,399.62,41.34,812.8,7.62,404.3232
88.9,5.842,399.62,41.34,1422.4,7.62,356.2848
88.9,5.842,399.62,41.34,812.8,25.4,175.696
88.9,5.842,399.62,41.34,1117.6,25.4,174.9176
82.55,1.397,482.3,41.34,812.8,7.62,125.8784
82.55,1.397,482.3,41.34,812.8,25.4,66.72
169.418,5.1054,304.51801631689,55.5334,3327.4,47.625,621.938304
169.164,5.2578,304.51801631689,54.0176,3327.4,38.1,701.673984
168.91,5.6642,290.81470558263,42.4424,3327.4,47.625,600.010992
168.402,6.5532,292.33729566421,37.9639,3327.4,47.625,624.928392
169.164,7.1882,307.56319648006,31.9696,3327.4,47.625,652.83588
169.164,7.2898,307.56319648006,33.1409,3327.4,38.1,738.551736
168.91,8.8138,318.22132705115,33.0031,3302.0,47.625,757.48896
140.208,9.6012,269.49844444045,41.5467,3327.4,31.75,548.1828
140.208,9.7536,269.49844444045,27.0088,3327.4,31.75,548.1828
140.97,5.0038,289.29211550105,42.5802,3327.4,31.75,416.618928
